skola	nazov	mesto	ulica	aj_n	aj_z
656110	Obchodná akadémia	Žilina	Veľká Okružná 32	62	2.7
656111	Obchodná akadémia sv. T. Akvinského	Žilina	Vysokoškolákov 13	32	3
656112	Súkromná obchodná akadémia	Žilina	Jarná 13	49	2.4
656303	Stredná odborná škola podnikania	Žilina	Sasinkova 45	34	2.9
656304	Súkromná stredná odborná škola podnikania	Ružomberok	Bystrická cesta 174/5	12	1.8
656401	Stredná odborná škola obchodu a služieb	Čadca	17. novembra 2579	65	3.1
656402	Stredná odborná škola obchodu a služieb	Dolný Kubín	Pelhřimovská 1186/10	70	3.2
656404	Stredná odborná škola obchodu a služieb	Martin	Stavbárska 11	81	2.9
656405	Spojená škola - Stredná odborná škola obchodu a služieb	Ružomberok	Scota Viatora 8	47	3.3
657201	Pedagogická a sociálna akadémia sv. M. Goretti	Čadca	Horná 137	67	2.7
657202	Pedagogická a sociálna akadémia	Turčianske Teplice	SNP 509/116	82	3.1
658001	Dopravná akadémia	Žilina	Rosinská cesta 2	109	3
658101	Stredná odborná škola technická	Čadca	Okružná 693	63	3.5
658103	Stredná odborná škola technická	Námestovo	Komenského 496/37	64	3.2
658104	Spojená škola	Nižná	Hattalova 471	108	3.1
658201	Stredná odborná škola polytechnická	Dolný Kubín	Jelšavská 404	33	3
658202	Stredná odborná škola polytechnická	Liptovský Mikuláš	Demänovská cesta 669	9	3.4
658203	Stredná odborná škola polytechnická	Ružomberok	Sládkovičova ulica 104	46	3.2
658301	Stredná odborná škola elektrotechnická	Liptovský Hrádok	Celiny 536	132	2.5
658302	Stredná odborná škola elektrotechnická	Žilina	Komenského 50	82	2.5
658401	Stredná odborná škola dopravná	Martin	Zelená 2	46	4
661501	Stredná zdravotnícka škola	Banská Bystrica	Tajovského 24	113	2.3
661511	Stredná zdravotnícka škola	Lučenec	Lúčna 2	40	2.6
661531	Stredná zdravotnícka škola	Zvolen	J. Kozáčeka 4	28	2.9
662001	Konzervatórium Jána Levoslava Bellu	Banská Bystrica	Skuteckého 27	16	2.6
662020	Súkromné hudobné a dramatické konzervatórium	Rimavská Sobota	Školská 31	1	—
