skola	NM	nazov	mesto	ulica	N	N_ZZ	N_SZP	N_C	znamka	uspes	ptil_skol	N_úspM	dlzka_studia	interní N	interní PÚ	externí N	externí PÚ	GYM_4 N	GYM_4 PÚ	GYM_8 N	GYM_8 PÚ
651,010	128	Evanjelická spojená škola - Evanjelické gymnázium J. Tranovského	Liptovský Mikuláš	Komenského 10	7	1	0	0	1.6	48.1	—	6	4/5/2008	7	48.1	—	—	4	36.7	—	—
651,011	56	Gymnázium Jozefa Lettricha	Martin	Lettricha 2	21	0	0	0	1.9	76	95.9	21	8	21	76	—	—	—	—	21	76
651,012	119	Gymnázium Viliama Paulinyho - Tótha	Martin	Malá hora 3	28	2	0	0	1.6	65.2	63.1	28	4	28	65.2	—	—	28	65.2	—	—
651,013	117	Bilingválne gymnázium Milana Hodžu	Sučany	Komenského 215	14	0	0	0	1.6	79.3	—	14	5	14	79.3	—	—	—	—	—	—
651,014	14	Spojená škola - Gymnázium J. C. Hronského	Vrútky	M. R. Štefánika 1	2	0	0	0	1	81.7	—	2	4	2	81.7	—	—	2	81.7	—	—
651,015	221	Gymnázium Antona Bernoláka	Námestovo	Mieru 307/23	78	0	0	0	2.2	66.2	67.2	78	4/8	78	66.2	—	—	72	65.7	6	72.2
651,016	81	Gymnázium	Ružomberok	Š. Moyzesa 21	35	0	0	0	1.9	53.5	26.2	33	4/8	35	53.5	—	—	28	51.8	7	60.5
651,017	87	Gymnázium sv. Andreja	Ružomberok	Námestie A. Hlinku 5	28	2	0	0	2.3	59.8	41	27	4/8	28	59.8	—	—	21	54.9	7	74.3
651,019	20	Spojená škola - Gymnázium M. Galandu	Turčianske Teplice	Horné Rakovce 1440/29	3	0	1	0	2.7	52.2	—	3	4/8	3	52.2	—	—	2	50	1	56.7
651,020	148	Gymnázium Martina Hattalu	Trstená	Železničiarov 278	72	0	0	0	1.8	53.1	25.4	62	4/5/2008	72	53.1	—	—	57	52.7	12	51.4
651,021	36	Gymnázium	Tvrdošín	Školská 837	13	0	0	0	1.3	82.8	—	13	4/8	13	82.8	—	—	10	81.7	3	86.7
